"","test","mean"
"1","List-Order",0.142000000001281
"2","List-Rcpp-TopXSort",0.0270000000004075
"3","List-TopXSort",0.131999999999243
"4","R5-Order",1.13700000000099
"5","R5-Rcpp-TopXSort",2.39499999999971
"6","R5-TopXSort",1.16899999999878
"7","R6-Order",0.258000000003085
"8","R6-Rcpp-TopXSort",0.0330000000001746
"9","R6-TopXSort",0.269000000001688
"10","S3-Order",0.226999999997497
"11","S3-Rcpp-TopXSort",0.0309999999968568
"12","S3-TopXSort",0.238000000000466
"13","S4-Order",0.147000000003027
"14","S4-Rcpp-TopXSort",0.0179999999963911
"15","S4-TopXSort",0.127999999996973
